NIT,NOMBRE,CALIFICACION
97587846442,Engracia Matejka,2.05
65780610081,Emmye Thickett,1.4
78808627716,Robinet Farthing,3.71
49081868875,Jacenta Kidde,2.62
78141245894,Lyle Normanville,3.73
20816086336,Darn Eustanch,3.57
43275996013,Rosalie Clewett,4.52
54924287231,Ogden Blumer,3.14
24734248357,Leonora Gaskall,4.31
12992796773,Kean Sheridan,4.25
44766796059,Nissa Parmeter,3.76
32157121043,Dru Windley,1.17
25538218809,Roderic Segeswoeth,4.05
29404045142,Breanne Ferrier,2.45
58073800495,Quincy Fenich,3.2
15349236207,Lindy Casillas,2.69
37755596245,Michele Ivanenko,1.96
22923549499,Lisetta Packman,2.81
67273849132,Evelyn Priestland,3.08
74260045468,Paton Seabourne,1.23
10099980717,Dorotea Longfellow,2.86
98350802813,Ninnette Seely,2.37
18014999966,Malissa Burnard,2.36
38804231229,Kari Brisard,1.01
61656458634,Ansley Raeburn,1.69
99125649973,Hillary Godson,2.53
78461900402,Paola Childs,2.9
44794562982,Mauricio Cluley,3.17
50477663297,Alidia Errol,1.11
34100700527,Ricky Treweke,3.12
20971048728,Ardenia Blenkiron,4.47
00701937002,Bram Kelwaybamber,3.78
48084984137,Tamarah Dable,2.57
25428938931,Marjory Persitt,4.8
16484124115,Aldon Egiloff,3.99
65591526001,Peria Livock,1.69
03802002184,Orelle Silver,3.14
53782945185,Bruce Cadreman,1.57
49154436252,Saxe Enbury,2.83
17423975729,Mariele Gerlts,1.65
41120762738,Michele Keeney,2.85
70758373623,Kaylee McCarrick,1.43
67653281489,Moses Terbeek,1.08
31194606848,Vinita Gorringe,2.1
52266161344,Isidore Van Merwe,1.03
05895116995,Nessa Syred,2.77
57082896031,Jackelyn Ackeroyd,3.05
45076659439,Artie Alaway,4.05
63500362740,Georgianne Emilien,1.21
09040582101,Liliane Ishak,2.14
94551488886,Archy Fay,4.33
28956201717,Chuck Ivanchikov,3.84
54785548044,Christiane Blindmann,3.8
99235049456,Glenna Andreolli,4.73
64347930192,Sheffy Gotling,4.15
88926207375,Verla Inchan,2.16
24258402983,Evey Groombridge,1.42
67388034301,Angie Andreev,3.55
29176356535,Edouard Batte,4.73
41570360940,Trish Whitebread,1.26
92476415425,Carter Plail,2.4
40304957178,Humbert Lawty,2.32
01111832625,Yevette Chatten,2.0
12260542292,Coralie Micka,4.03
74125804295,Mufi Hincks,3.89
80730820919,Wheeler Budding,3.23
82545486528,Luise Marvel,1.27
54966760547,Gisele Sneezum,2.17
91719968513,Jody Probat,1.59
59144254219,Birch Ivantyev,4.18
07854779539,Merrill Christou,4.82
87928694209,Raquel Gomar,4.79
77229137765,Ophelia Harmour,1.25
81140638535,Laird Peltz,1.81
84532874629,Johannes Gillaspy,2.72
18113060550,Bondy Tiller,4.05
25801902974,Tamarah Domini,4.89
92983626366,Benedick Fessier,1.45
42889968461,Camella Kelloch,2.15
13894066339,Elfrida Walcot,1.78
43821174235,Milzie Dionis,3.41
89570037720,Zara Avramov,2.36
13343670761,Patsy Maben,4.7
86418336173,Ibbie Gayforth,3.79
29538397265,Mateo Conibear,4.81
21795498285,Mitchel Gledhall,4.29
81895026289,Dilly McCann,3.12
19297680801,Jermayne McClenan,4.83
56810664141,Judy Darington,2.67
73182968700,Audrye Lotze,3.07
43785797828,Xylina Mockford,2.24
25046425880,Jobi Judge,1.61
71375815104,Cybil Dalliston,2.61
03035275980,Mitchel Ashbrook,1.42
10485988549,Frank Maiden,3.53
36488829768,Libbi Minchinton,4.07
64683789788,Shannan Jerche,2.39
49561810864,Loralyn McClifferty,3.61
92430062525,Kahaleel Mackrell,1.96
21605402274,Meaghan While,3.63
87713587113,Pier Doutch,4.53
91548245927,Rabbi McIllroy,2.34
49145213748,Jule Elsby,1.17
15833975068,Cindee Spackman,4.67
49345216682,Riki Twiddy,2.55
25529684132,Pennie Daubeny,1.12
10106038645,Alysia Veeler,1.9
09176253852,Andrew Davey,3.49
91024410749,Howard Malafe,4.57
82395110128,Wilhelmina Barfitt,4.06
19152658392,Klarrisa Turnell,4.25
64901733581,Terrence Edlestone,2.76
45141826419,Rebe Davidove,4.25
75276272926,Fulvia Sommers,4.43
08476914163,Glyn Courtois,3.91
64057889887,Daryl Jahn,2.73
60523327299,Tootsie Sobtka,4.72
51994498681,Mariellen Chasemore,4.1
23499696941,Odelia Bierton,4.26
34762555691,Kissie Musla,1.16
89617455212,Malena Fahy,2.27
98206448967,Anthia Leyland,4.98
19058494474,Mikkel Staner,4.06
01228582472,Clark Rey,4.58
37112604809,Sisely Lill,1.71
38120662014,Sydney Heaselgrave,2.23
27869527272,Aile Tatersale,1.99
54180668340,Christabella Mc Giffin,1.48
42739835647,Easter Sollon,4.63
13313826804,Darrel Purchall,1.54
42000325408,Waring Sibbs,2.52
30318076879,Sean Bayle,4.12
24145299893,Glynnis Gladbach,2.45
48880194074,Gerda Klimpke,2.65
97819825473,Marylou Littlecote,2.97
67845935251,Rosabel Bugler,2.45
38788955239,Lisha Quenell,1.85
16250335019,Donica Lie,3.72
95369817330,Andee Pellew,2.01
87516052496,Lonnard Erasmus,1.23
76371738647,Nick Harflete,4.12
83939549743,Anson Gomez,1.76
81838816056,Aldin Ormston,4.96
47311283641,Quinlan Ivakin,3.67
30032754191,Vladimir Fortman,2.59
64713947017,Agnella Brogiotti,1.15
12307243377,Dyana Dummigan,3.76
35671272990,Lauryn Lynam,4.85
54657606864,Sayre Tiptaft,4.42
36626186860,Leonanie Dalyiel,2.57
76627204570,Ewart Hartell,2.71
81912539980,Leesa Phillipp,1.23
37743316858,Jessika Seale,1.13
56102023597,Helenka Hovington,1.56
55420303967,Jamie Wallenger,2.65
26071899692,Edvard Loffel,4.02
98080603508,Corene McInteer,1.81
52592106010,Sibeal Kieff,1.9
42225010875,Auguste Jerzak,2.48
55049971917,Aime Andrieu,1.12
42250576017,Elbertine Lyddiatt,1.6
75421354910,Lezley Osmar,1.68
20867431874,Cassaundra Quantrell,2.86
03891657745,Town Sykes,2.9
82460751546,Hamel Capehorn,2.14
20567777352,Patrizio Pandie,3.93
45032449021,Pooh Ovize,4.9
42064071690,Ezra Frede,2.55
26393778038,Hughie Duprey,2.52
87072482951,Jess Donhardt,1.31
90236861986,Fleming Bursnoll,4.03
40536589368,Caroline Tofano,3.71
44884035522,Shurlock Maunsell,4.04
33268844220,Christan Eayrs,3.76
20172980166,Silvester Yoskowitz,4.82
71986304817,Weylin Alyutin,2.76
02382859535,Estelle Danes,4.82
83379055305,Alena Matissoff,2.79
17751335277,Morie Hamman,2.59
83611315638,Vonny Brucker,4.72
65068118656,Kelvin Jiruch,4.66
61748911096,Dedie Galbreth,2.33
88337583920,Prentiss Bernardo,3.69
71965535602,Gwenny Bynert,1.65
79643247758,Ephraim Doucette,4.8
29223126604,Massimiliano Attawell,2.57
80130751555,Daren Ondrousek,4.64
60867364930,Randi Carratt,3.87
85639407540,Gretchen Hatterslay,2.98
17145679272,Remy Bonifazio,2.95
13110989873,Grantley Crosoer,4.21
71503031133,Cheryl Fidele,1.59
52263504016,Frannie Grinston,2.92
21340987708,Lu Physick,2.38
14841642390,Veriee Hartzog,2.78
40498029254,Brigida Girvan,3.02
41916212130,Jess Paylie,2.08
27787780166,Gwenni Swannack,2.77
61344970830,Ado Le Pruvost,2.79
77196972139,Angelia Brimson,1.18
84672302657,Michelle Palfreeman,3.19
06443530212,Shane Perse,4.55
98609936680,Ed Ceely,2.46
97037549105,Barney Donnan,2.1
17737575983,Cheston Porson,2.89
16987553006,Amata Woodbridge,4.2
42067078952,Whitney Keyhoe,1.21
64532090168,Isac Juris,2.5
26738267008,Aviva Tuvey,3.76
31283054647,Gordie Wallace,3.0
32418531706,Bevan Willoughey,4.92
09003432409,Idaline Domleo,4.77
76759220167,Nance Coalbran,4.03
63006572752,Pat Balsillie,1.84
10434813722,Kathryne Pullar,2.97
05813106162,Monika Errichi,1.29
72363816674,Franny Beaver,4.16
99103750533,Harp A'field,4.87
86300997075,Coop Eller,1.88
15422554823,Augustin Nuton,1.59
04658006440,Tonia Villar,1.86
34911908587,Francene Palfreman,1.49
29956637717,Myrwyn Martynov,1.51
02999869331,Stewart Rottger,1.09
67832480133,Audy Lidgertwood,3.21
56330713916,Mellicent Burness,2.24
93016654632,Jannel Crockford,2.36
93405781640,Pen Fray,4.85
17588097303,Gabe Kingsnod,2.91
94662606078,Crissy Callicott,3.88
50565185367,Lira Behling,1.08
90487549532,Katrinka Belshaw,4.05
18529945967,Efrem Randell,2.35
21946267905,Sterne Avramovitz,2.01
30313713486,Lauretta Nutman,3.89
42348666372,Chelsey Mellenby,3.53
54873909606,Janine Blueman,3.47
21515429223,Valma De Blase,3.92
50568293667,Carina Yerill,2.92
02113778909,Nichole Dundendale,1.91
53359448498,Lida Haglinton,3.75
51594233012,Jarrod Gores,1.98
41636126572,Crosby Coy,1.74
43021864678,Skylar Heasley,1.47
11371312723,Gerardo Hacquard,1.69
87316850872,Kerwinn Ansill,4.27
17501692892,Sigismond Sherrard,3.63
91717209410,Ambrose Stother,2.26
28455171544,Gaynor Adamovich,1.41
39285241917,Baird Prowse,2.78
60229442711,Germain Brendish,3.66
52173499760,Ashbey Brinkler,1.32
02589813547,Kay Spall,1.4
88704347491,Noam Michallat,2.42
31906611743,Val Feldmark,3.86
63993428564,Idalia Gemeau,4.76
57155820011,Lorianne McIlmorie,4.33
33058383104,Graehme Dyhouse,3.79
30288096330,Chryste Chantillon,2.2
04313143840,Tripp Climer,1.93
31587372086,Miltie Soans,4.37
64023862763,Becka Freeman,2.57
98990611392,Eli Hannaway,3.93
33761678949,Joela Roff,3.24
69864416524,Helene McEntegart,3.21
49590846546,North Rizzardini,1.23
20378852835,Randie Kevern,4.58
57471677591,Legra Leithgoe,2.99
13997065028,Wallis Kneesha,4.78
27301577829,Rickey Cluet,3.19
70887104219,Tilda Bunch,1.02
15626061776,Dimitry Simpkins,4.39
20571465992,Prudy Esselen,2.45
50552686255,Gabby Kennelly,4.2
15996191406,Angel Curnucke,3.43
57345111955,Karla Doorly,1.28
98162859837,Ade Ellse,2.09
00339807614,Janina Stannard,4.82
47499209000,Trudie Synke,2.58
